k = 1, rmse_knn = 12.1500
k = 2, rmse_knn = 11.3434
k = 3, rmse_knn = 11.2565
k = 4, rmse_knn = 11.1001
k = 5, rmse_knn = 11.0553
k = 6, rmse_knn = 11.1417
k = 7, rmse_knn = 11.1816
k = 8, rmse_knn = 11.2680
k = 9, rmse_knn = 11.3236
k = 10, rmse_knn = 11.4839
k = 11, rmse_knn = 11.5278
k = 12, rmse_knn = 11.6236
k = 13, rmse_knn = 11.6601
k = 14, rmse_knn = 11.7257
k = 15, rmse_knn = 11.7933
k = 16, rmse_knn = 11.8466
k = 17, rmse_knn = 11.9274
k = 18, rmse_knn = 12.0153
k = 19, rmse_knn = 12.0954
k = 20, rmse_knn = 12.1772
Optimum point with RMSE = 11.0553 found at [5]
